2210929006;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391691040;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391691040; ANDROID             
2210929007;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391688589;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391688589; ANDROID             
2210929070;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391297076;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391297076; ANDROID             
2210929071;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391458387;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391458387; ANDROID             
2210929072;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391382763;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391382763; ANDROID             
2210929073;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391707308;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391707308; ANDROID             
2210929074;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391537987;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391537987; ANDROID             
2210929075;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391511565;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391511565; ANDROID             
2210929373;169870;1001459949; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391526332;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391526332; ANDROID             
2210929374;169870;1001459949; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391532127;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391532127; ANDROID             
2210929468;276342;1001415250; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551391728382;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391728382; ANDROID             
2210929590;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391695655;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391695655; ANDROID             
2210929591;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391699025;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391699025; ANDROID             
2210929592;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391707986;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391707986; ANDROID             
2210929593;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391710488;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391710488; ANDROID             
2210929594;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391718782;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391718782; ANDROID             
2210929595;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391716485;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391716485; ANDROID             
